ITERATION, OBJECTIVE-1, OBJ_FUNC_DRESP:D-RESPONSE-1, OBJ_FUNC_TERM:D-RESPONSE-1, OPT-CONSTRAINT-1:LE:D-RESPONSE-2
Norm-Values:, 6.8611664e+2, 6.8611664e+2, 6.8611664e+2, 4.0192250e-4
0, 6.8611664e+2, 6.8611664e+2, 6.8611664e+2, 4.0192163e-4
1, 6.6213544e+2, 6.6213544e+2, 6.6213544e+2, 3.6516777e-4
2, 6.6195514e+2, 6.6195514e+2, 6.6195514e+2, 3.4790981e-4
3, 6.9127399e+2, 6.9127399e+2, 6.9127399e+2, 3.1770079e-4
4, 5.7037683e+2, 5.7037683e+2, 5.7037683e+2, 3.4334828e-4
5, 4.2953360e+2, 4.2953360e+2, 4.2953360e+2, 3.5687129e-4
6, 4.2278485e+2, 4.2278485e+2, 4.2278485e+2, 3.7022453e-4
7, 3.8750113e+2, 3.8750113e+2, 3.8750113e+2, 3.7484444e-4
8, 3.0776996e+2, 3.0776996e+2, 3.0776996e+2, 3.7821615e-4
9, 2.7753381e+2, 2.7753381e+2, 2.7753381e+2, 3.8635026e-4
10, 2.8861032e+2, 2.8861032e+2, 2.8861032e+2, 3.8996042e-4
11, 2.3874173e+2, 2.3874173e+2, 2.3874173e+2, 3.9194259e-4
12, 2.1665091e+2, 2.1665091e+2, 2.1665091e+2, 3.9266192e-4
13, 2.4608748e+2, 2.4608748e+2, 2.4608748e+2, 3.9358181e-4
14, 2.8961673e+2, 2.8961673e+2, 2.8961673e+2, 3.9416802e-4
15, 2.5284976e+2, 2.5284976e+2, 2.5284976e+2, 3.9232802e-4
16, 2.9385474e+2, 2.9385474e+2, 2.9385474e+2, 3.9183322e-4
17, 1.9423055e+2, 1.9423055e+2, 1.9423055e+2, 3.9227810e-4
18, 2.0568945e+2, 2.0568945e+2, 2.0568945e+2, 3.9367942e-4
19, 2.1460355e+2, 2.1460355e+2, 2.1460355e+2, 3.9343236e-4
20, 2.2245171e+2, 2.2245171e+2, 2.2245171e+2, 3.9261364e-4
21, 1.9146852e+2, 1.9146852e+2, 1.9146852e+2, 3.9106776e-4
22, 2.3158450e+2, 2.3158450e+2, 2.3158450e+2, 3.8547927e-4
23, 2.4237122e+2, 2.4237122e+2, 2.4237122e+2, 3.8194977e-4
24, 2.8904922e+2, 2.8904922e+2, 2.8904922e+2, 3.8068939e-4
25, 2.6852197e+2, 2.6852197e+2, 2.6852197e+2, 3.8292495e-4
26, 1.9405940e+2, 1.9405940e+2, 1.9405940e+2, 3.8364908e-4
27, 1.6323705e+2, 1.6323705e+2, 1.6323705e+2, 3.8718659e-4
28, 1.5256673e+2, 1.5256673e+2, 1.5256673e+2, 3.9142463e-4
29, 1.5033234e+2, 1.5033234e+2, 1.5033234e+2, 3.9062958e-4
30, 1.1972540e+2, 1.1972540e+2, 1.1972540e+2, 3.9440178e-4
31, 1.2491461e+2, 1.2491461e+2, 1.2491461e+2, 3.9553919e-4
32, 1.5023979e+2, 1.5023979e+2, 1.5023979e+2, 3.9587048e-4
33, 1.1082267e+2, 1.1082267e+2, 1.1082267e+2, 3.9686091e-4
34, 1.1364986e+2, 1.1364986e+2, 1.1364986e+2, 3.9747191e-4
35, 1.0852661e+2, 1.0852661e+2, 1.0852661e+2, 3.9665904e-4
36, 1.1454918e+2, 1.1454918e+2, 1.1454918e+2, 3.9860440e-4
37, 1.1509802e+2, 1.1509802e+2, 1.1509802e+2, 3.9864358e-4
38, 1.0444812e+2, 1.0444812e+2, 1.0444812e+2, 3.9947234e-4
39, 1.0157214e+2, 1.0157214e+2, 1.0157214e+2, 3.9956163e-4
40, 9.2149124e+1, 9.2149124e+1, 9.2149124e+1, 3.9949137e-4
41, 9.7187057e+1, 9.7187057e+1, 9.7187057e+1, 3.9998867e-4
42, 8.2828888e+1, 8.2828888e+1, 8.2828888e+1, 4.0029568e-4
43, 8.0696892e+1, 8.0696892e+1, 8.0696892e+1, 4.0072497e-4
44, 1.0686910e+2, 1.0686910e+2, 1.0686910e+2, 4.0079831e-4
45, 8.4363159e+1, 8.4363159e+1, 8.4363159e+1, 4.0047403e-4
46, 9.3958992e+1, 9.3958992e+1, 9.3958992e+1, 4.0028527e-4
47, 1.0848315e+2, 1.0848315e+2, 1.0848315e+2, 4.0007246e-4
48, 9.3865891e+1, 9.3865891e+1, 9.3865891e+1, 3.9993305e-4
49, 9.8885818e+1, 9.8885818e+1, 9.8885818e+1, 3.9997548e-4
50, 9.4635574e+1, 9.4635574e+1, 9.4635574e+1, 3.9925301e-4
